no;iso_o;iso_d;distw;gdp_o;gdp_d;rta;flow;contig;comlang_off;comcur
1;AFG;ARG;15341.16165;8399.039063;214057.75;0;0.061;0;0;0
2;AFG;AUS;11086.14057;8399.039063;768177.6875;0;0.405504;0;0;0
3;AFG;AUT;4567.30199;8399.039063;322443.6563;0;0.1649;0;0;0
4;AFG;AZE;1821.71868;8399.039063;20121.61133;0;0.001600005;0;0;0
5;AFG;BEL;5331.891731;8399.039063;392001.375;0;4.158704;0;0;0
6;AFG;BFA;7464.209599;8399.039063;6205.320313;0;0.00103494;0;0;0
7;AFG;BGD;2488.676089;8399.039063;61960.96094;0;3.024593;0;0;0
8;AFG;BGR;3819.042931;8399.039063;31483;0;0.01970001;0;0;0
9;AFG;BLR;3766.026549;8399.039063;36945.29297;0;1.4346;0;0;0
10;AFG;BOL;15100.64901;8399.039063;11163.07129;0;8.37E-05;0;0;0
11;AFG;BRA;13223.75192;8399.039063;1067962.25;0;0.432904;0;0;0
12;AFG;CAN;10516.29308;8399.039063;1251463.375;0;0.766471;0;0;0
13;AFG;CHE;5136.084735;8399.039063;379758.2813;0;0.4052664;0;0;0
14;AFG;CHN;4434.382121;8399.039063;2668071.25;0;0.1860001;1;0;0
15;AFG;CIV;8067.372396;8399.039063;17483.98828;0;0.08066773;0;0;0
16;AFG;CMR;6632.051303;8399.039063;18322.92578;0;0.0345953;0;0;0
17;AFG;COG;7110.931922;8399.039063;7385.168945;0;0.002673077;0;0;0
18;AFG;COL;14072.28391;8399.039063;135836.0156;0;0.0233179;0;0;0
19;AFG;CRI;14260.46473;8399.039063;22145.08008;0;0.0539443;0;0;0
20;AFG;CZE;4543.170618;8399.039063;141801.4219;0;0.7595005;0;0;0
21;AFG;DEU;4945.520213;8399.039063;2906681.25;0;3.330404;0;0;0
22;AFG;DNK;4854.473988;8399.039063;275237.0313;0;6.3251;0;0;0
23;AFG;DZA;5776.017808;8399.039063;114727.0625;0;5.2153;0;0;0
24;AFG;ECU;15033.62518;8399.039063;40800.08203;0;0.001996005;0;0;0
25;AFG;EGY;3509.173821;8399.039063;107484.0391;0;3.1549;0;0;0
26;AFG;ESP;6147.662614;8399.039063;1223988.5;0;0.07910001;0;0;0
27;AFG;FIN;4243.3415;8399.039063;209444.8906;0;13.43012;0;0;0
28;AFG;FRA;5500.664767;8399.039063;2230721.5;0;0.9898;0;0;0
29;AFG;GAB;7167.722665;8399.039063;9545.985352;0;0.00387457;0;0;0
30;AFG;GBR;5694.557162;8399.039063;2345014.75;0;19.5507;0;0;0
31;AFG;GEO;2272.455692;8399.039063;7550.169922;0;0.0579322;0;0;0
32;AFG;GRC;3981.455163;8399.039063;244951.375;0;1.716;0;0;0
33;AFG;GTM;14094.44832;8399.039063;35290.26953;0;0.2272402;0;0;0
34;AFG;HKG;4656.973931;8399.039063;189798.1094;0;0.1345201;0;0;0
35;AFG;HND;13928.30575;8399.039063;9234.891602;0;3.63789;0;0;0
36;AFG;HUN;4265.952722;8399.039063;112898.5234;0;0.02730002;0;0;0
37;AFG;IDN;6105.471254;8399.039063;364458.9063;0;0.0526343;0;0;0
38;AFG;IND;1741.230214;8399.039063;906268;0;68.82711;0;0;0
39;AFG;IRL;6052.053662;8399.039063;222649.7969;0;0.0398;0;0;0
40;AFG;IRN;1553.816028;8399.039063;222889.5;0;0.290488;1;1;0
41;AFG;ITA;4878.285503;8399.039063;1844748.875;0;1.229602;0;0;0
42;AFG;JOR;3009.074896;8399.039063;14176.30469;0;0.976887;0;0;0
43;AFG;JPN;6169.581521;8399.039063;4340133.5;0;0.6000731;0;0;0
44;AFG;KAZ;1647.539248;8399.039063;77236.89844;0;0.3672691;0;0;0
45;AFG;KEN;5167.670519;8399.039063;21185.94141;0;0.129404;0;0;0
46;AFG;KHM;4470.221684;8399.039063;7192.591309;0;0.003375053;0;0;0
47;AFG;KNA;11909.9999;8399.039063;486.6666565;0;0.04968139;0;0;0
48;AFG;KOR;5275.912133;8399.039063;888024.1875;0;0.062;0;0;0
49;AFG;LBN;2992.41851;8399.039063;22722.19141;0;2.78432;0;0;0
50;AFG;LKA;3277.398036;8399.039063;26966.58398;0;0.1511785;0;0;0
51;AFG;MAR;6734.63333;8399.039063;57306.73047;0;0.00362482;0;0;0
52;AFG;MDA;3544.93143;8399.039063;3265.583984;0;0.002101077;0;0;0
53;AFG;MDG;6386.71084;8399.039063;5499.229492;0;9.78E-05;0;0;0
54;AFG;MKD;4105.127705;8399.039063;6217.132324;0;0.00880271;0;0;0
55;AFG;MUS;6225.654128;8399.039063;6448.455078;0;0.0376361;0;0;0
56;AFG;MYS;5078.320227;8399.039063;148940.3594;0;0.01473362;0;0;0
57;AFG;NER;6687.471188;8399.039063;3544.143066;0;0.00534615;0;0;0
58;AFG;NLD;5264.187044;8399.039063;657590.125;0;0.1926001;0;0;0
59;AFG;NOR;5018.427159;8399.039063;310959.75;0;0.427251;0;0;0
60;AFG;NZL;13647.263;8399.039063;103873.2109;0;0.4891293;0;0;0
61;AFG;PAK;805.9721989;8399.039063;128830.2031;0;65.74634;1;0;0
62;AFG;PER;15599.54926;8399.039063;93269.03906;0;0.0618041;0;0;0
63;AFG;PHL;5863.215579;8399.039063;116931.3438;0;0.02316501;0;0;0
